# BEAST v1.8.1, r6542
# Generated Wed Jan 21 11:40:54 PST 2015 [seed=1421869242079]
state	posterior	prior	likelihood	treeModel.rootHeight	constant.popSize	clock.rate	treeLikelihood	coalescent
0	-248601.09058940003	-1181.706949361782	-247419.38364003826	1764166.136857933	1000000.0	1.0	-247419.38364003826	-1167.891438803818
1000	-248562.6427952326	-1143.2591531561145	-247419.3836420765	672090.9934033128	595083.9505198103	0.9919368834197742	-247419.3836420765	-1129.9707911875353
2000	-248559.5230638876	-1140.139420415595	-247419.383643472	1056284.4020541594	564060.0221941245	0.34217244938940133	-247419.383643472	-1127.9689448994714
3000	-248560.64946165265	-1141.2658191668509	-247419.3836424858	453094.94295156415	481911.1199216874	1.0023743038255606	-247419.3836424858	-1128.1779326997046
4000	-248511.28894296108	-1096.6160862596341	-247414.67285670145	246345.15825421677	315446.1528787081	1.686097007497644	-247414.67285670145	-1083.4319265905776
5000	-248490.7797931172	-1071.3961486913647	-247419.38364442583	409877.1918366984	274475.2328879732	0.487802224370652	-247419.38364442583	-1059.5913776149823
6000	-248476.33027148625	-1057.0378617599497	-247419.2924097263	237303.63706155843	229293.8006325511	0.21701724059054597	-247419.2924097263	-1046.222880806396
7000	-248459.98651387444	-1043.4851620904742	-247416.50135178395	394785.82808638585	171993.89564376153	0.5365300311526137	-247416.50135178395	-1032.0525805681764
8000	-248447.39344177255	-1040.8751821089681	-247406.5182596636	176998.63703684477	154387.6809330487	0.2863720769489697	-247406.5182596636	-1030.1784233276169
9000	-248450.64217478066	-1045.75234921281	-247404.88982556784	388415.2213982671	188417.5437619283	0.4773320467142426	-247404.88982556784	-1034.3454763718298
10000	-248451.06837729152	-1049.5606409514226	-247401.5077363401	366112.1556012055	175636.98630402228	0.30793791054133035	-247401.5077363401	-1038.6623234907454
11000	-248449.1395205329	-1047.806365025913	-247401.333155507	393092.251606433	173236.5081174305	0.35707090482780396	-247401.333155507	-1036.7737728910777
12000	-248436.86936941784	-1035.9830743427485	-247400.8862950751	287819.28726965695	156525.90096987586	0.3128001678462763	-247400.8862950751	-1025.1842882997933
13000	-248433.1882222798	-1036.872814125403	-247396.3154081544	270966.29469510005	202365.35600374814	0.37685665498410637	-247396.3154081544	-1025.6308744789922
14000	-248421.27117037016	-1026.1143741134001	-247395.15679625678	234433.51989870888	126859.42108611346	0.34605708908382915	-247395.15679625678	-1015.4246908018132
15000	-248386.5872508351	-998.5600303333633	-247388.0272205017	261636.50791844112	118605.94860920015	0.33744175648905567	-247388.0272205017	-987.962830769096
16000	-248356.2959395899	-980.8932814546984	-247375.40265813522	204863.53556543504	73206.41142568082	0.34471973729146643	-247375.40265813522	-970.7572667185693
17000	-248347.6418692152	-979.9646218746645	-247367.67724734053	234335.9245545164	81729.30317373438	0.3324982275121504	-247367.67724734053	-969.7545747398362
18000	-248336.12550416272	-966.4688485934952	-247369.6566555692	158641.3389383061	67623.19584653979	0.35074315237908243	-247369.6566555692	-956.3948433394833
19000	-248339.90723090334	-974.9925311814632	-247364.91469972188	251840.84982448161	67802.08641394462	0.3389858805072704	-247364.91469972188	-964.9499797578312
20000	-248340.8843331595	-974.0099257469828	-247366.87440741254	181178.0174133489	76410.45963156347	0.3481515146921427	-247366.87440741254	-963.8211683819414
21000	-248329.84168690912	-961.574427180697	-247368.26725972843	270382.607779783	65243.04369432724	0.3645445343262835	-247368.26725972843	-951.4976590270189
22000	-248303.32149986282	-962.8395819611145	-247340.48191790172	121690.14805248182	69546.56573851653	0.37060514053736704	-247340.48191790172	-952.6824482376685
23000	-248316.14313439617	-987.062095832554	-247329.08103856363	228825.75835998097	107857.76406632904	0.28479519283675003	-247329.08103856363	-976.7295121725106
24000	-248312.32257966176	-987.9116690506663	-247324.4109106111	339553.6435598505	85310.10231386339	0.2901438678930336	-247324.4109106111	-977.7949992742796
25000	-248294.24676547022	-975.8502267149287	-247318.3965387553	143661.1124608631	75387.14064666505	0.2932440329009218	-247318.3965387553	-965.84658486375
26000	-248270.69267616313	-955.287594044862	-247315.40508211826	126951.76438899271	60960.89549804263	0.32434184331073623	-247315.40508211826	-945.3955634121212
27000	-248251.6044946731	-935.856118276556	-247315.74837639654	85825.14399116064	50368.19710073241	0.3124621340996901	-247315.74837639654	-926.1922750196017
28000	-248265.916794709	-955.4121322870354	-247310.50466242194	370743.381503022	59943.6735905265	0.30604027162624864	-247310.50466242194	-945.5950102393136
29000	-248248.0719821716	-947.6143884765387	-247300.45759369506	60549.27475133203	51282.024104444914	0.3040551919432836	-247300.45759369506	-937.9598389557171
30000	-248226.43800308093	-933.9732831980187	-247292.4647198829	102817.85121160907	38161.45373326872	0.2793292381228734	-247292.4647198829	-924.6990661053802
31000	-248236.7680591458	-933.7622885132442	-247303.00577063256	63903.331863007545	57253.985095545184	0.2578333911120771	-247303.00577063256	-924.1624776591383
32000	-248211.9809747385	-922.9909343055853	-247288.9900404329	154161.8427929771	29642.32884463675	0.2862368204677856	-247288.9900404329	-913.9449114254627
33000	-248146.49578741813	-928.8067990786107	-247217.6889883395	63649.83578677279	43359.40276649731	0.23689675460962198	-247217.6889883395	-919.5696510837492
34000	-248101.80211378445	-908.2211362702308	-247193.5809775142	43747.59965622974	45911.4137949569	0.22338338373476968	-247193.5809775142	-898.985533012636
35000	-247761.92052267768	-885.94712667172	-246875.97339600595	24912.50279639848	23947.10238218342	0.2295643950192813	-246875.97339600595	-877.3350957628502
36000	-247738.45506922164	-871.5924352848142	-246866.86263393683	34567.07133593307	22201.646270153535	0.2291687541428602	-246866.86263393683	-863.057810192554
37000	-247710.25893069935	-850.3196562821845	-246859.93927441715	38122.938885451826	13320.947482991729	0.246737361875187	-246859.93927441715	-842.2219940285811
38000	-247706.4718116498	-840.8214134682883	-246865.65039818152	27799.313588497396	16367.05457809923	0.24280301028935442	-246865.65039818152	-832.5338925637924
39000	-247676.0091050099	-838.1086128872961	-246837.9004921226	53107.85573725417	14197.343624554784	0.22404843785952092	-246837.9004921226	-830.043695739959
40000	-247614.97562201903	-800.240677311318	-246814.7349447077	15637.646579623382	10237.006588290884	0.2066899794495058	-246814.7349447077	-792.5834480730072
41000	-247553.87439681846	-783.3096918836108	-246770.56470493483	11028.285889412793	8230.065246350985	0.20140774269229345	-246770.56470493483	-775.8965665171891
42000	-247500.48399159932	-761.0240387588015	-246739.45995284052	9873.785682470143	4573.155227999964	0.19444072394764592	-246739.45995284052	-754.2337080148303
43000	-247441.22895362834	-758.1957901924521	-246683.03316343587	9986.378970054906	5908.778522855792	0.18219409451000962	-246683.03316343587	-751.214278489944
44000	-247351.83620304443	-734.3430320039298	-246617.4931710405	9305.73275036383	3632.6493965864156	0.18322317962441226	-246617.4931710405	-727.8423647899833
45000	-247248.82849133652	-704.9060475788453	-246543.92244375768	13379.056050276546	2628.6748789035687	0.18119223083426308	-246543.92244375768	-698.7400091914565
46000	-247084.92942609978	-671.6766114078031	-246413.25281469198	5709.388778284862	1494.7579250924684	0.1724998857553114	-246413.25281469198	-666.1242505629033
47000	-246985.66336834605	-652.5888410178668	-246333.0745273282	5557.329591826806	1338.7578007090094	0.16216096879918623	-246333.0745273282	-647.2085093717766
48000	-246832.13358871604	-616.6449552215221	-246215.4886334945	2019.5416200156685	797.5696897330561	0.1622635528443262	-246215.4886334945	-611.7819194016946
